index,source,text,token,pos,pymorphy,natasha,mystem
0,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,ну,PART,PRCL,PART,PART
1,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,она,SPRO,NPRO,PRON,SPRO
2,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,и,INTJ,CONJ,PART,CONJ
3,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,воручелла,S,NOUN,VERB,S
4,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,у,PR,PREP,ADP,PR
5,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,нас,SPRO,NPRO,PRON,SPRO
6,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,всегда,ADV,ADVB,ADV,ADVPRO
7,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,на,PR,PREP,ADP,PR
8,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,нас,SPRO,NPRO,PRON,SPRO
9,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,ворчит,V,VERB,NOUN,V
10,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,мама,S,NOUN,NOUN,S
11,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,давай,V,VERB,VERB,V
12,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,кошечку,S,NOUN,VERB,S
13,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,пригрудим,V,VERB,NOUN,V
14,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,а,CONJ,CONJ,CCONJ,CONJ
