word,context,adagram_meaning,cluster_meaning,meaning
идти,пресс секретарь президент россия дмитрий песок объяснить ситуация с запись он встреча с студент высокий школа экономика они быть удалить не из за цензура он слово в пятница 30 март передавать корреспондент лента ру никакой там цензура нет что касаться журналист то мы просто не договориться вначале точнее неточно договориться сказать он песок исходить из тот что это абсолютно закрытый откровенный разговор и обмен мнение у они быть иной понимание режим освещение наверное просто это действительно мы нечётко условиться но ничего в это страшный нет пояснить пресс секретарь мы говорить о новый медиа и новый медиа собственно весь информация о это получить а ни о какой цензура здесь абсолютно речь не идти потому что весь информация она и так доступный но я действительно просить это никак не публиковать потому что я исходить из тот что это не открытый разговор а скорее дискретный добавить он 30 март сообщаться что медиацентр высокий школа экономика удалить запись выступление пресс секретарь президент в время ток шоу в точка однако в социальный сеть быть опубликовать фрагмент выступление снятой на мобильный телефон сам учиться в время ток шоу 29 март песок отвечать на вопрос студент например о тот почему президент владимир путин не выйти к митинговать после пожар в кемерово также он рассказать что считать оппозиционер алексей навальный нарцисс и эгоист хотя никогда с они не встречаться помимо это песок вступиться за обвинить в домогательство депутат госдума леонид слуцкий,4.0,7.0,-1
идти,представитель российский мид мария захаров объяснить свой грубый высказывание в адрес руководство другой страна интервью у дипломат взять журналистка ирина шихман оно доступно на youtube корреспондент отметить что язык который использовать российский руководство стать грубоватый и хамоватый в пример шихман привести заявление о тот что русский хакер взломать президент сша барак обама мозг захаров отказаться признавать свой слово неприличный и грубый ведь речь идти о конкретный заявление обама это точно такой же лексика только с тот сторона она начать не мы объяснить она когда президент соединить штат позволять себя вообще вне контекст сравнить допустить президент другой страна с какой то школьник скучать на задний парта то тут ты понимать что мир немножко измениться по слово дипломат запад не воспринимать интеллигентный и дипломатический лексика никто бы в голова не прийти говорить такой вещь если бы не то что говорить мы сказать она спикер мид также прокомментировать свой слово о тот что президент украина пётр порошенко уже давно ошибиться дверь по она мнение такой высказывание адекватный ответ на выпад с сторона украинский лидер захаров добавить что такой лексика министерство более понятный и доступный для пользователь социальный сеть а отвечать формулировка сложно с это согласиться уместно для статья или выступление на саммит дипломат также отказаться считать свой высказывание унизительный для кто либо в 2015 год на поле саммит g20 барак обама сравнить президент россия с скучать школьник на задний парта поздний в эфир телеканал nbc он заявить что российский партнёр включая президент страна частенько демонстрировать приём эпоха холодный война хотя она уже два десяток год как закончиться,4.0,7.0,2
идти,информация о компания русало опубликовать информационный агентство bloomberg и reuters основать на дилетантский комментарий анонимный источник о это говориться в заявление пресс служба компания на страница в facebook информация агентство получить от анонимный источник сомнительный качество отмечаться в сообщение вымысел подобный источник создавать ложный представление о происходить в то время как компания в сложный ситуация сконцентрировать всё ресурс для поиск оптимальный решение в интерес клиент сотрудник инвестор и кредитор подчеркнуть в русало о какой публикация идти речь не поясняться распространять агентство сведение не иметь общий с действительность и наносить ущерб деловой репутация русало компания сохранять за себя право использовать всё юридический мера для защита свой репутация отметить в пресс служба 26 апрель bloomberg с ссылка на источник сообщить что основной владелец русало бизнесмен олег дерипаск решить не идти на повод сша и не отказываться от контроль над российский компания недавний послабление с сторона американский власть лишь вселить в он уверенность в верность стратегия поэтому отказываться от свой доля в компания он не намеренный отмечать агентство россия не спешить с ответ на санкция сша в отношение русало поскольку надеяться что европейский лидер смочь убедить вашингтон ещё большой смягчить ограничительный мера сообщить в тот же день reuters 23 апрель минфин сша заявить что готовый снять санкция с российский компания если олег дерипаск потерять контроль над русало,4.0,8.0,6
идти,китайский вмешательство в американский выборы расценить как более пагубный нежели российский о это говориться в подготовить речь вица президент сша майк пенс для выступление в институт хадсон 4 октябрь передавать bloomberg в речь указываться что пекин подготовить агент под прикрытие специальный группа и пропагандистский вброс чтобы изменить отношение американец к китайский политика согласно данные спецслужба действие россия меркнуть на фон китайский вмешательство отмечаться в доклад в время выступление он также обвинить китай в вмешательство в промежуточный выборы в конгресс в ноябрь и подрыв авторитет американский лидер дональд трамп сообщать associated press китай хотеть видеть на пост президент сша другой человек отмечаться в речь 28 сентябрь foreign affairs сообщать что несмотря на обострение в отношение между вашингтон и пекин китай мочь рассматривать президентство трамп как удача в частность отмечаться что выход сша из транстихоокеанский партнёрство жёсткий подход к торговля с япония и обсуждение вывод войско из южный корея ослаблять влияние сша в регион и играть на рука китай до это президент сша дональд трамп обвинить власть китай в вмешательство в промежуточный выборы в конгресс сша по мнение белый дом оно достигнуть недопустимый уровень с начало 2018 год между сша и китай идти торговый война который выражаться в взаимный повышение пошлина на различный группа товар трамп обвинить пекин в нечестный игра и пожаловаться на слишком большой дефицит в двусторонний торговый баланс поздний он заявить о торговый победа над китай который уже не смочь обогнать экономика сша по оценка bloomberg ожидаться что из за потеря в торговый война по итог год ввп китай вырасти на 6 6 процент что стать минимальный значение с 1990 год,4.0,1.0,-1
идти,группа втб предложить масса медиа распространять сведение о тот что группа якобы выдать кредит компания qia на приобретение акция роснефть заключить соглашение быть который сводиться к тот что если дать информация оказаться ложный то каждый такой сми заплатить банк по 1 миллиард рубль о это сообщить пресс служба группа втб в последний время в ряд иностранный и российский сми появиться информация о тот что группа втб якобы выдать кредит компания qia на приобретение акция роснефть группа втб уже неоднократно заявлять что это не так подчёркиваться в сообщение банк пресс служба банк также утверждать что группа втб с 2014 год не кредитовать компания qia ранее агентство reuters с ссылка на девять источник сообщить что втб профинансировать значительный часть транзакция речь идти о продажа 19 5 процент акция роснефть суверенный фонд катар и сырьевой трейдер glencore по данные издание размер российский кредит катарский суверенный фонд составить около 6 миллиард доллар,4.0,1.0,-1
идти,на юг москва клиент один из продуктовый база погрузить в машина чёрный икра на общий сумма девять миллион рубль и уехать не заплатить о это лента ру сообщить источник в силовой структура по он слово около 19 00 в полиция обратиться сотрудник один из центр оптовый торговля расположить в ступинский проезд на юг столица они сообщить что двое мужчина увезти на свой ford focus около сто килограмм икра автомобиль объявить в розыск решаться вопрос о уголовный дело по статья кража в особо крупный размер стоимость килограмм чёрный икра колебаться от 45 до 130 тысяча рубль в зависимость от размер и цвет икринка сорт и использовать консервант дешёвый весь оцениваться икра стерлядь дорогой каспийский осётр именно она и похитить с московский база уточнить собеседник лента ру по данные риа новость речь идти о красный икра в мвд агентство сказать что быть похитить 300 килограмм на общий сумма 900 тысяча рубль в ноябрь 2016 год с продуктовый база на восток москва мужчина в одиночка похитить красный лососёвый икра почти на 40 миллион рубль,0.0,2.0,4
идти,катер и яхта перестать пользоваться больший спрос в россия о это лента ру сообщить в пресс служба avito авто добавить что этот вид транспорт сильно подешеветь аналитик выяснить что частый весь в второй квартал 2018 год россиянин интересоваться моторный лодка на они прийтись около 60 процент весь запрос далее идти надувной лодка затем весельный катер и яхта оказаться лишь на четвёртый место последний интересоваться весь 4448 раз одновременно с это специалист отметить рост спрос на водный вид транспорт вообще по сравнение с второй квартал 2017 год в 2018 год он вырасти на три процент и теперь составить 158 797 запрос параллельно с рост спрос на водный вид транспорт падать цена на они по данные исследование сайт большой весь подешеветь катер и яхта если в второй квартал 2017 год они в среднее стоить около 99 тысяча рубль то за тот же период 2018 год они средний цена опуститься до 76 тысяча моторный лодка упасть в цена на 13 процент от 43 тысяча до 38 тысяча рубль надувной на 7 процент маленький весь ценовый изменение затронуть гидроцикл каноэ каяк и весельный лодка однако последний по прежний оставаться самый доступный вид транспорт они можно приобрести весь за 21 тысяча рубль,0.0,6.0,-1
идти,турецкий яхтенный верфь bilgin yachts спустить на вода 80 метровый суперъяхта project 263 о это сообщать super yacht times по данные эксперт судно являться крупный яхта произвести в турция интерьер каюта и другой помещение разработать лондонский студия h2 design studio в настоящий время на судно идти работа по дооборудование на борт предусмотреть внушительный размер зона отдых и спа салон яхта рассчитать на размещение 16 гость в восемь каюта при экипаж в 24 человек силовой установка два дизельный двигатель mtu 16v4000 m73 по 2 625 лошадиный сила каждый проектный максимальный скорость 18 узел около 33 километр в час дальность автономный плавание 5 000 морской миля около 10 тысяча километр на крейсерский скорость 11 узел около 20 километр в час передача яхта владелец запланировать на конец 2019 год имя заказчик не раскрываться bilgin yachts турецкий верфь основать в 1929 год производственный мощность расположить в район стамбул до 2004 год выпускать преимущественно яхта с деревянный корпус,0.0,6.0,4
идти,явка на президентский выборы по данные экзитпол всероссийский центр изучение общественный мнение составить 63 7 процент о это сообщать тасс согласно первый опубликовать официальный данные после обработка 22 процент протокол на выборы побеждать действовать президент владимир путин 72 08 процент второе место занимать выдвиженец от кпрф павел грудинин 15 8 процент третий лидер лдпр владимир жириновский 6 94 процент далёкий идти ксения собчак гражданский инициатива 2 5 процент григорий явлинский яблоко 1 6 борис титов партия рост 1 1 выборы президент россия состояться 18 март последний избирательный участок закрыться в 21 00 по московский время в калининградский область явка на 18 00 по московский время по данные цик составить 59 93 процент большой важный новость в telegram канал лента день подписываться,0.0,3.0,-1
идти,смертность от онкологический заболевание в россия снизиться впервые за три год писать известие с ссылка на росстат по данные ведомство в 2017 год от рак умереть 289 тысяча человек это на 3 5 процент маленький чем год ранее показатель число смерть от онкология впервые за пять год оказаться ниже 200 196 9 случай на 100 тысяча человек в минздрав издание сообщить что последний несколько год идти развитие онкологический служба а среди население широко внедряться индивидуальный профилактика с 2013 год в рамка диспансеризация проводиться массовый скрининг который позволять обнаружить многие вид рак на ранний стадия при это официальный цифра свидетельствовать что число онкобольной в страна постоянно расти так в 2016 год на 100 тысяча человек приходиться 2403 случай злокачественный новообразование в 2006 м они быть на 38 8 процент маленький специалист связывать это с улучшение диагностика накануне 12 март министр здравоохранение вероника скворцов в интервью российский газета сообщить о резкий снижение число смерть от сердечно сосудистый заболевание по она слово за последний пять год смертность от инсульт снизиться на 25 процент а от инфаркт миокард на 17 процент министр отметить что достигнуть такой результат удаться благодаря реформирование система экстренный помощь при сосудистый катастрофа создание сеть сосудистый центр с отделение интенсивный кардиология и острый нарушение мозговой кровообращение применение современный метод диагностика и лечебный технология,0.0,3.0,3
